TF-IDF Features for Each Document:

Document: a1.txt
  Term: received, TF-IDF Score: 0.0113
  Term: freak, TF-IDF Score: 0.0113
  Term: traditional, TF-IDF Score: 0.0104
  Term: continues, TF-IDF Score: 0.0104
  Term: fun, TF-IDF Score: 0.0104
  Term: says, TF-IDF Score: 0.0104
  Term: fourth, TF-IDF Score: 0.0104
  Term: throw, TF-IDF Score: 0.0104
  Term: giving, TF-IDF Score: 0.0104
  Term: expressed, TF-IDF Score: 0.0104
  Term: chick, TF-IDF Score: 0.0104
  Term: year, TF-IDF Score: 0.0104
  Term: lipperini, TF-IDF Score: 0.0104
  Term: inspired, TF-IDF Score: 0.0104
  Term: image, TF-IDF Score: 0.0104
  Term: returned, TF-IDF Score: 0.0104
  Term: free, TF-IDF Score: 0.0104
  Term: man, TF-IDF Score: 0.0104
  Term: caught, TF-IDF Score: 0.0104
  Term: went, TF-IDF Score: 0.0104
  Term: radio, TF-IDF Score: 0.0104
  Term: saga, TF-IDF Score: 0.0104
  Term: entei, TF-IDF Score: 0.0104
  Term: 13, TF-IDF Score: 0.0104
  Term: temporarily, TF-IDF Score: 0.0104
  Term: chapter, TF-IDF Score: 0.0104
  Term: flare, TF-IDF Score: 0.0104
  Term: dreams, TF-IDF Score: 0.0104
  Term: stop, TF-IDF Score: 0.0104
  Term: fighter, TF-IDF Score: 0.0104
  Term: festival, TF-IDF Score: 0.0104
  Term: mini, TF-IDF Score: 0.0104
  Term: darkness, TF-IDF Score: 0.0104
  Term: gains, TF-IDF Score: 0.0104
  Term: dark, TF-IDF Score: 0.0104
  Term: gain, TF-IDF Score: 0.0104
  Term: defeats, TF-IDF Score: 0.0104
  Term: brain, TF-IDF Score: 0.0104
  Term: largely, TF-IDF Score: 0.0104
  Term: ancient, TF-IDF Score: 0.0104
  Term: multiple, TF-IDF Score: 0.0104
  Term: world, TF-IDF Score: 0.0104
  Term: ash, TF-IDF Score: 0.0103
  Term: make, TF-IDF Score: 0.0103
  Term: character, TF-IDF Score: 0.0103
  Term: manga, TF-IDF Score: 0.0103
  Term: adventures, TF-IDF Score: 0.0103
  Term: adaptations, TF-IDF Score: 0.0103
  Term: printed, TF-IDF Score: 0.0103
  Term: sugimori, TF-IDF Score: 0.0103
  Term: ken, TF-IDF Score: 0.0103
  Term: franchise, TF-IDF Score: 0.0103
  Term: nintendo, TF-IDF Score: 0.0103
  Term: readers, TF-IDF Score: 0.0092
  Term: better, TF-IDF Score: 0.0092
  Term: commented, TF-IDF Score: 0.0092
  Term: special, TF-IDF Score: 0.0092
  Term: day, TF-IDF Score: 0.0092
  Term: resembling, TF-IDF Score: 0.0092
  Term: choice, TF-IDF Score: 0.0092
  Term: example, TF-IDF Score: 0.0092
  Term: tower, TF-IDF Score: 0.0092
  Term: volume, TF-IDF Score: 0.0092
  Term: travel, TF-IDF Score: 0.0092
  Term: charizard, TF-IDF Score: 0.0092
  Term: trainer, TF-IDF Score: 0.0092
  Term: choose, TF-IDF Score: 0.0092
  Term: pokkén, TF-IDF Score: 0.0092
  Term: obtain, TF-IDF Score: 0.0092
  Term: poképark, TF-IDF Score: 0.0092
  Term: attempts, TF-IDF Score: 0.0092
  Term: beginning, TF-IDF Score: 0.0092
  Term: town, TF-IDF Score: 0.0092
  Term: elite, TF-IDF Score: 0.0092
  Term: catch, TF-IDF Score: 0.0092
  Term: usually, TF-IDF Score: 0.0092
  Term: changes, TF-IDF Score: 0.0092
  Term: attributed, TF-IDF Score: 0.0092
  Term: mouth, TF-IDF Score: 0.0092
  Term: concept, TF-IDF Score: 0.0092
  Term: release, TF-IDF Score: 0.0092
  Term: result, TF-IDF Score: 0.0092
  Term: causing, TF-IDF Score: 0.0092
  Term: favorite, TF-IDF Score: 0.0083
  Term: citing, TF-IDF Score: 0.0083
  Term: describing, TF-IDF Score: 0.0083
  Term: change, TF-IDF Score: 0.0083
  Term: tale, TF-IDF Score: 0.0083
  Term: revealed, TF-IDF Score: 0.0083
  Term: attacks, TF-IDF Score: 0.0083
  Term: tournament, TF-IDF Score: 0.0083
  Term: considered, TF-IDF Score: 0.0083
  Term: control, TF-IDF Score: 0.0083
  Term: notable, TF-IDF Score: 0.0083
  Term: sequel, TF-IDF Score: 0.0083
  Term: evolving, TF-IDF Score: 0.0083
  Term: combination, TF-IDF Score: 0.0083
  Term: 151, TF-IDF Score: 0.0083
  Term: introduced, TF-IDF Score: 0.0083
  Term: west, TF-IDF Score: 0.0075
  Term: new, TF-IDF Score: 0.0075
  Term: electric, TF-IDF Score: 0.0075
  Term: male, TF-IDF Score: 0.0075
  Term: james, TF-IDF Score: 0.0075
  Term: wii, TF-IDF Score: 0.0075
  Term: makes, TF-IDF Score: 0.0075
  Term: heartgold, TF-IDF Score: 0.0075
  Term: live, TF-IDF Score: 0.0075
  Term: human, TF-IDF Score: 0.0075
  Term: final, TF-IDF Score: 0.0075
  Term: finalized, TF-IDF Score: 0.0075
  Term: conceived, TF-IDF Score: 0.0075
  Term: designs, TF-IDF Score: 0.0075
  Term: pokemon, TF-IDF Score: 0.0075
  Term: listed, TF-IDF Score: 0.0068
  Term: end, TF-IDF Score: 0.0068
  Term: playable, TF-IDF Score: 0.0068
  Term: shown, TF-IDF Score: 0.0068
  Term: version, TF-IDF Score: 0.0068
  Term: ranger, TF-IDF Score: 0.0068
  Term: ability, TF-IDF Score: 0.0068
  Term: soulsilver, TF-IDF Score: 0.0068
  Term: remakes, TF-IDF Score: 0.0068
  Term: super, TF-IDF Score: 0.0068
  Term: said, TF-IDF Score: 0.0068
  Term: based, TF-IDF Score: 0.0068
  Term: similar, TF-IDF Score: 0.0068
  Term: relatable, TF-IDF Score: 0.0068
  Term: western, TF-IDF Score: 0.0068
  Term: translating, TF-IDF Score: 0.0068
  Term: descriptive, TF-IDF Score: 0.0068
  Term: clever, TF-IDF Score: 0.0068
  Term: decided, TF-IDF Score: 0.0068
  Term: localized, TF-IDF Score: 0.0068
  Term: appearing, TF-IDF Score: 0.0068
  Term: named, TF-IDF Score: 0.0062
  Term: adventure, TF-IDF Score: 0.0062
  Term: time, TF-IDF Score: 0.0062
  Term: original, TF-IDF Score: 0.0062
  Term: means, TF-IDF Score: 0.0062
  Term: names, TF-IDF Score: 0.0062
  Term: monsters, TF-IDF Score: 0.0062
  Term: pocket, TF-IDF Score: 0.0062
  Term: development, TF-IDF Score: 0.0062
  Term: characteristics, TF-IDF Score: 0.0062
  Term: voiced, TF-IDF Score: 0.0062
  Term: titles, TF-IDF Score: 0.0062
  Term: spinoff, TF-IDF Score: 0.0062
  Term: created, TF-IDF Score: 0.0062
  Term: leafgreen, TF-IDF Score: 0.0057
  Term: firered, TF-IDF Score: 0.0057
  Term: like, TF-IDF Score: 0.0057
  Term: main, TF-IDF Score: 0.0057
  Term: gold, TF-IDF Score: 0.0057
  Term: body, TF-IDF Score: 0.0057
  Term: american, TF-IDF Score: 0.0057
  Term: audiences, TF-IDF Score: 0.0057
  Term: features, TF-IDF Score: 0.0057
  Term: related, TF-IDF Score: 0.0057
  Term: japan, TF-IDF Score: 0.0057
  Term: design, TF-IDF Score: 0.0057
  Term: english, TF-IDF Score: 0.0057
  Term: sequels, TF-IDF Score: 0.0057
  Term: bulbapedia, TF-IDF Score: 0.0052
  Term: links, TF-IDF Score: 0.0052
  Term: external, TF-IDF Score: 0.0052
  Term: references, TF-IDF Score: 0.0052
  Term: children, TF-IDF Score: 0.0052
  Term: media, TF-IDF Score: 0.0052
  Term: animated, TF-IDF Score: 0.0052

Document: a10.txt
  Term: snorlax, TF-IDF Score: 0.8408
  Term: pokémon, TF-IDF Score: 0.2519
  Term: red, TF-IDF Score: 0.0731
  Term: sleeping, TF-IDF Score: 0.0727
  Term: lax, TF-IDF Score: 0.0659
  Term: roadblock, TF-IDF Score: 0.0659
  Term: munchlax, TF-IDF Score: 0.0659
  Term: called, TF-IDF Score: 0.0650
  Term: character, TF-IDF Score: 0.0569
  Term: games, TF-IDF Score: 0.0569
  Term: wake, TF-IDF Score: 0.0561
  Term: powerful, TF-IDF Score: 0.0522
  Term: ash, TF-IDF Score: 0.0488
  Term: later, TF-IDF Score: 0.0488
  Term: poké, TF-IDF Score: 0.0472
  Term: player, TF-IDF Score: 0.0472
  Term: pokemon, TF-IDF Score: 0.0472
  Term: known, TF-IDF Score: 0.0445
  Term: slam, TF-IDF Score: 0.0440
  Term: camphrier, TF-IDF Score: 0.0440
  Term: flute, TF-IDF Score: 0.0440
  Term: food, TF-IDF Score: 0.0440
  Term: silly, TF-IDF Score: 0.0440
  Term: downright, TF-IDF Score: 0.0440
  Term: heaviest, TF-IDF Score: 0.0440
  Term: pounds, TF-IDF Score: 0.0440
  Term: 000, TF-IDF Score: 0.0440
  Term: weigh, TF-IDF Score: 0.0440
  Term: kabigon, TF-IDF Score: 0.0440
  Term: play, TF-IDF Score: 0.0436
  Term: calling, TF-IDF Score: 0.0436
  Term: town, TF-IDF Score: 0.0436
  Term: ign, TF-IDF Score: 0.0406
  Term: children, TF-IDF Score: 0.0406
  Term: time, TF-IDF Score: 0.0390
  Term: used, TF-IDF Score: 0.0390
  Term: obtained, TF-IDF Score: 0.0374
  Term: belly, TF-IDF Score: 0.0374
  Term: gamespy, TF-IDF Score: 0.0374
  Term: certain, TF-IDF Score: 0.0354
  Term: cat, TF-IDF Score: 0.0327
  Term: gary, TF-IDF Score: 0.0327
  Term: radio, TF-IDF Score: 0.0327
  Term: game, TF-IDF Score: 0.0325
  Term: large, TF-IDF Score: 0.0321
  Term: best, TF-IDF Score: 0.0293
  Term: editor, TF-IDF Score: 0.0293
  Term: pikachu, TF-IDF Score: 0.0293
  Term: voiced, TF-IDF Score: 0.0293
  Term: species, TF-IDF Score: 0.0293
  Term: defeating, TF-IDF Score: 0.0291
  Term: high, TF-IDF Score: 0.0291
  Term: head, TF-IDF Score: 0.0291
  Term: ketchum, TF-IDF Score: 0.0291
  Term: poképark, TF-IDF Score: 0.0291
  Term: main, TF-IDF Score: 0.0267
  Term: body, TF-IDF Score: 0.0267
  Term: series, TF-IDF Score: 0.0267
  Term: pre, TF-IDF Score: 0.0261
  Term: compared, TF-IDF Score: 0.0261
  Term: feet, TF-IDF Score: 0.0261
  Term: considered, TF-IDF Score: 0.0261
  Term: blue, TF-IDF Score: 0.0244
  Term: anime, TF-IDF Score: 0.0244
  Term: media, TF-IDF Score: 0.0244
  Term: various, TF-IDF Score: 0.0244
  Term: video, TF-IDF Score: 0.0244
  Term: using, TF-IDF Score: 0.0236
  Term: smash, TF-IDF Score: 0.0236
  Term: designs, TF-IDF Score: 0.0236
  Term: fanmade, TF-IDF Score: 0.0220
  Term: commonly, TF-IDF Score: 0.0220
  Term: surprisingly, TF-IDF Score: 0.0220
  Term: hell, TF-IDF Score: 0.0220
  Term: lazy, TF-IDF Score: 0.0220
  Term: watson, TF-IDF Score: 0.0220
  Term: elijah, TF-IDF Score: 0.0220
  Term: 28th, TF-IDF Score: 0.0220
  Term: dwarfs, TF-IDF Score: 0.0220
  Term: seven, TF-IDF Score: 0.0220
  Term: snow, TF-IDF Score: 0.0220
  Term: sleepy, TF-IDF Score: 0.0220
  Term: barbo, TF-IDF Score: 0.0220
  Term: maria, TF-IDF Score: 0.0220
  Term: laziest, TF-IDF Score: 0.0220
  Term: symbolizing, TF-IDF Score: 0.0220
  Term: regression, TF-IDF Score: 0.0220
  Term: interpret, TF-IDF Score: 0.0220
  Term: sic, TF-IDF Score: 0.0220
  Term: effective, TF-IDF Score: 0.0220
  Term: tank, TF-IDF Score: 0.0220
  Term: tauros, TF-IDF Score: 0.0220
  Term: isn, TF-IDF Score: 0.0220
  Term: evolver, TF-IDF Score: 0.0220
  Term: immobility, TF-IDF Score: 0.0220
  Term: peculiar, TF-IDF Score: 0.0220
  Term: today, TF-IDF Score: 0.0220
  Term: disorder, TF-IDF Score: 0.0220
  Term: glandular, TF-IDF Score: 0.0220
  Term: physically, TF-IDF Score: 0.0220
  Term: extensive, TF-IDF Score: 0.0220
  Term: smell, TF-IDF Score: 0.0220
  Term: driven, TF-IDF Score: 0.0220
  Term: gluttonous, TF-IDF Score: 0.0220
  Term: bicycle, TF-IDF Score: 0.0220
  Term: road, TF-IDF Score: 0.0220
